,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_roadType,linqmap_reportRating,linqmap_magvar,linqmap_reliability,update_date,x,y
0,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:31:17.000,,,443 מערב,6,5,272,7,2022-05-15 09:53:02.307,197236.3200000003,650361.5700000003
1,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:43:09.000,,פלמחים,,2,5,174,6,2022-05-15 09:53:02.309,173578.8200000003,649010.7300000004
2,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:40:57.000,,,ל-6 דרום,4,5,209,7,2022-05-15 09:53:02.310,196444.1900000004,679037.7400000002
3,ACCIDENT,,2022-05-15 09:28:38.000,,פתח תקווה,,20,5,60,5,2022-05-15 09:53:02.310,189858.74000000025,668371.1199999992
4,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:37:25.000,,גבעתיים,בן גוריון,2,5,13,6,2022-05-15 09:53:02.310,183121.4400000004,665120.9600000009
5,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:50:03.000,,,44 צפון,6,5,292,5,2022-05-15 09:53:02.311,188724.04000000004,648404.3100000005
6,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:19:19.000,,,2 דרום,3,5,198,7,2022-05-15 09:53:02.311,188532.73000000045,694510.0800000001
7,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-05 09:56:53.000,,רמת גן,תלפיות,1,0,0,10,2022-05-15 09:53:02.311,182329.61000000036,665960.5199999996
8,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:50:53.000,,,6 דרום,3,5,198,10,2022-05-15 09:53:02.311,198699.3899999997,683382.25
9,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:21:10.000,,,2 דרום,3,5,153,9,2022-05-15 09:53:02.312,188666.84999999963,695586.6600000001
10,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:47:37.000,,,471 מערב,3,5,265,10,2022-05-15 09:53:02.313,191893.6500000004,663823.5099999998
17,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:47:01.000,,,5504,7,5,225,5,2022-05-15 09:53:02.314,195162.16999999995,676339.7100000009
16,JAM,,2022-05-15 09:43:45.000,,,6 דרום,3,5,196,10,2022-05-15 09:53:02.314,198978.0700000003,684316.2300000004
14,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:41:13.000,,,ל- 2 חיפה,4,5,335,5,2022-05-15 09:53:02.314,184429.33000000007,678102.3800000008
15,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:32:27.000,,,"ל-20 איילון צפון, יפו",4,5,26,6,2022-05-15 09:53:02.314,179198.28000000026,660561.9199999999
12,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:27:02.000,,,2 דרום,3,5,204,6,2022-05-15 09:53:02.314,188249.4299999997,693706.5199999996
11,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 18:24:20.000,,יהוד-מונוסון,,1,0,0,10,2022-05-15 09:53:02.314,189613.1399999997,659628.6600000001
13,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:14:55.000,,,6 צפון,3,5,27,6,2022-05-15 09:53:02.314,193814.41000000012,651086.5299999993
18,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2021-02-18 09:27:00.000,אתר התארגנות - הקו הירוק של הרכבת הקלה,,,0,0,0,10,2022-05-15 09:53:02.315,179842.41000000015,667217.4700000007
19,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:50:07.000,,,412 צפון,6,5,67,5,2022-05-15 09:53:02.315,183503.4500000002,656610.75
20,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-08 13:00:00.000,,,ל- שד רבין,4,0,0,6,2022-05-15 09:53:02.315,177026.16000000015,654423.5800000001
23,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-14 21:00:04.000,,כפר סבא,בן גוריון,2,0,0,6,2022-05-15 09:53:02.316,191566.1299999999,675454.4299999997
21,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:50:48.000,,רמת גן,יכין,1,5,310,5,2022-05-15 09:53:02.316,181939.71,665344.9900000002
22,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:46:16.000,,רמת גן,ביאליק,2,5,276,5,2022-05-15 09:53:02.316,181972.4400000004,666028.7400000002
24,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:22:02.000,,,4 צפון,3,2,69,7,2022-05-15 09:53:02.316,179468.63999999966,651945.3300000001
25,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:30:57.000,,,44 צפון,6,3,302,5,2022-05-15 09:53:02.317,179290.16000000015,660625.6699999999
26,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:29:58.000,,רמת גן,חיבת ציון,2,5,275,5,2022-05-15 09:53:02.317,183238.34999999963,665181.9499999993
27,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:48:45.000,,תל אביב - יפו,גשר יצחק מודעי,2,5,100,6,2022-05-15 09:53:02.317,181093.26999999955,665841.4399999995
